synset_id,pos,definition,wiki,example_count,examples_joined,literal_count
TUR10-0000790,n,"Dilenci kılıklı, üstü başı perişan kimse",,1,"Sokakta dolaşan abdal görünümlü adam, elindeki eski torbayla herkesten yardım istiyordu",1
TUR10-0000800,n,Safeviler devrinde İran'da yaşayan Türk oymaklarından biri,,1,"Safevi devrinde, Abdal oymakları İran topraklarında büyük bir nüfusa sahipti",1
TUR10-0000808,i,"Çok tembel, üşengeç",,0,,1
TUR10-0000810,n,Anadolu'da yaşayan oymaklardan bazısı,,1,"Yörük kültürünü koruyan Abdal oymakları, Anadolu’nun çeşitli bölgelerinde yerleşikti",1
TUR10-0000818,i,Canından bezmiş,,0,,1
TUR10-0000830,n,"Müslümanların, bazı ibadetleri yapabilmek için belli bir düzen içerisinde bazı organları yıkayıp bazılarını mesh etme yoluyla yaptıkları arınma",https://tr.wikipedia.org/wiki/Abdest,1,"Hatta bize inadına, sözüm meclisten hâriç, süprüntülüğe abdest bozduğu bile vâki olurdu",1
TUR10-0000840,n,İdrar ve dışkı yapma,,1,Küçük abdestini yapmaya gitti.,1
TUR10-0000848,i,"İşin iç yüzü, gerçeği öğrenildi",,0,,1
TUR10-0000850,n,"Şeritgillerden, vücudu yassı, birbirine kenetlenmiş boğumları bulunan ve bazısı metrelerce boyda olan bir bağırsak asalağı",https://tr.wikipedia.org/wiki/Tenya,1,"Şeritler, insan ve hayvanlarda zararlı olabilen parazitlerdir.",6
TUR10-0000858,i,"Çocuklar, büyüklerin yaşayışına uyarlar",,0,,1
TUR10-0000860,n,"Gülgillerden, siyah ve yeşil boya çıkarılan bir bitki",,0,,1
TUR10-0000880,a,Abdest almış kimse,,1,Abdestli olmadığı zamanlarda da o yüce dostla konuşulabileceğinden emindi,1
TUR10-0000890,a,Abdesti bozulmamış olan kimse,,1,"Abdestli kaldığına emin misin, tazelemek ister misin?",1
TUR10-0000900,n,Abdest alınacak yer,,1,"Her sabah bizim gibi erkenden mektebe gelir, akşama kadar kalır; evlerimizden nöbetle getirdiğimiz kucak kucak otları yazsa ağaçların, kışsa sol taraftaki abdestlik sundurmasının altında yavaş yavaş yerdi",1
TUR10-0000910,a,Abdest almaya yarayan,,1,Apteslik kap.,1
TUR10-0000920,n,Abdest alınırken giyilen ve kolsuz hırkaya benzeyen bir tür giyecek,,1,"Abdestliğini giyindi, camiye doğru yola çıktı.",1
TUR10-0000938,i,"İş yapacak güç var, ama kullanma imkânı yok",,0,,1
TUR10-0000940,a,Abdest almamış olan kimse,,1,Abdestsiz sofuya namaz mı dayanır,1
TUR10-0000950,a,Abdesti bozulmuş olan kimse,,1,Abdestsiz olan namaz kılamaz.,1
TUR10-0000958,i,"Anlaşılmayacak bir şey yok, hesap ortada, açık",,0,,1
TUR10-0000960,b,"Abdest almadan, almaksızın",,0,,1
TUR10-0000968,i,Bir iş gerçekleşmeden ona oldu gözüyle bakılıp sevinilmemelidir,,0,,1
TUR10-0000978,i,Halkın düzen içinde çalışmasını baştakiler sağlar,,0,,1
TUR10-0000990,n,Alçak gönüllülük göstermek için kişinin kendisine verdiği san,,0,,2
TUR10-0000998,i,Övünmek gibi olmasın ama,,0,,1
TUR10-0001000,n,"Akdeniz bölgesinde ve Afrika'da yetişen çok yıllık, yumrulu ve otsu bir bitki",,1,"Abdülleziz bitkisi Akdeniz bölgesinde yetişir, yemişi de güzel olur.",1
TUR10-0001010,n,"Akdeniz bölgesinde ve Afrika'da yetişen çok yıllık, yumrulu ve otsu bir bitkinin yemiş olarak yenilen, tatlı ve yağlı ürünü",,1,"O devirde biz çocuklar arasında abdülleziz dediğimiz bu kuru yemiş Arabistan’dan gelir, Hindistan cevizinin lezzetini andırır, yumuşak kabuklu, içi beyaz ve sütlü, pek leziz bir şeydi",1
TUR10-0001020,n,"Bir dilin seslerini gösteren, belirli bir sıraya göre dizilmiş belli sayıda harfin bütünü",https://tr.wikipedia.org/wiki/Alfabe,1,Türk yazısı. Arap yazısı.,3
TUR10-0001028,i,Yapılan bir işin yarım yamalak olduğunu bildirmek için kullanılır,,0,,1
TUR10-0001050,n,Işık hızının sonlu olmasından dolayı bir gök cisminin görünen konumu ile gerçek konumu arasındaki fark,,1,"Sapınç, ışığın belirli bir hızda yol alması nedeniyle astronomide hesaplamaları daha karmaşık hale getiriyor.",2
TUR10-0001060,a,Akla ve gerçeğe aykırı,,1,"Hesâbını Allah’a verircesine memlekete hizmet eden hükümdarların, vezirlerin îmânını, ihlâsını beklemek ne abes!",1
TUR10-0001070,a,"Gereksiz, lüzumsuz, yersiz, boş",,1,Artık söylemekte bir mahzur olmadığından gizlemek abes.|Gönlümde sevgi bir tatlı hevesti / Sevgisiz yaşamak bence abesti,1
TUR10-0001100,n,Cennette bulunduğuna inanılan Kevser ırmağının adı,,0,,1
TUR10-0001110,n,"Önemli bir olayı veya büyük bir kişinin gelecek kuşaklarca tarih boyunca anılması için yapılan, göze çarpacak büyüklükte, sembol niteliğinde yapı",https://tr.wikipedia.org/wiki/An%C4%B1t,1,"Bu hatlar, bu çiniler, bu nakışlar olmasa bu abideler de olmazdı.",3
TUR10-0001130,v,Saygı ve sevgi ile anılır duruma gelmek,,1,"Atatürk, Türk milletinin gönlünde anıtlaştı.",2
TUR10-0001180,n,Okyanusların çok derin yeri ve daha özel olarak güneş ışığının erişemediği kesim,,0,,1
TUR10-0001200,n,Bir kimsenin kendinden büyük olan kız kardeşi,,1,"Kız, üç kardeşin bacısı, Halil'in nişanlısıydı.|Ali, abasıyla çocukluğunda ne çok oyun oynadıklarını hatırlayıp gülümsedi|Kız, üç kardeşin ablası, Halil'in nişanlısıydı.",3
TUR10-0001210,n,Büyük kız kardeş gibi saygı ve sevgi gösterilen kız veya kadın,,1,Hatırda kalan şey değişmez zamanla / Ne vefalı komşumuzdun sen Fahriye abla!,1
TUR10-0001220,n,Genelev veya randevuevi işleten kadın,,1,"Bir akşam gel benimle, gidelim bir sarhoşluk edelim, ablaları şöyle bir dolaşalım.|O mahallede herkes genelevin mama'sını tanırdı.",3
TUR10-0001230,n,Eş cinsel kadın,https://tr.wikipedia.org/wiki/Lezbiyen,0,,3
TUR10-0001240,n,Kadınlar arası eş cinsellik,,0,,4
TUR10-0001250,n,Yayvan ve dolgun yüz,,1,Şarap kızılı vurmuş ablak yüzüyle öfkeli girdi içeri.,1
TUR10-0001260,a,Yüzü böyle olan kimse,,0,,1
TUR10-0001270,a,Ablak gibi,,0,,1
TUR10-0001300,v,Abla gibi yakın ve koruyucu davranışta bulunmak,,0,,1
TUR10-0001320,n,"Uzunluğu 150, genişliği 4-10 kulaç olan, geniş gözlü bir balık ağı",,0,,1
TUR10-0001330,n,"Yarım serenleri sağa, sola veya ortaya çevirmek için bunların ucuna bağlı bulunan donanım",,0,,1
TUR10-0001340,n,Bir ülkenin veya bir yerin dış dünya ile olan her türlü bağlantısını kuvvet kullanarak kesme,https://tr.wikipedia.org/wiki/Abluka,0,,4
TUR10-0001350,n,Parasını önceden ödeyerek süreli yayınları alıcı olma işi,,1,Türk dili dergisine abone oldum.,1
TUR10-0001360,n,Bir şeyi sürekli olarak kullanmak için hizmeti verenle sözleşme yapan kimse,,1,Bu gazetenin elli bin abonesi var.,1
TUR10-0001370,a,Bir yere gitmeyi alışkanlık durumuna getiren kimse,,0,,1
TUR10-0001390,a,Abone veya aboneler için kullanılabilecek miktarda olan,,0,,1
TUR10-0001410,n,Abone olma durumunu gösteren belge,,1,Parayı yatırdım ama abonmanımı vermediler!,1
TUR10-0001420,n,"Bir deniz teknesinin başka bir tekneye, bir iskeleye veya bir rıhtıma yanını vererek yanaşması",,1,Gemi rıhtıma aborda etmişti,1
TUR10-0001430,n,Avustralya yerlisi,https://tr.wikipedia.org/wiki/Avustralya_Aborjinleri,0,,1
TUR10-0001440,n,"Bozuk teraziyi dengelemek için hafif gelen kefeye ağırlık olarak konulan taş, demir, çivi vb.",,1,Eski terazide ölçümü doğru yapabilmek için hafif kalan kefeye bir abra eklemek zorunda kaldı|Eski teraziyi kullanabilmek için kefeye bir dara koymak zorunda kaldık.,2
TUR10-0001450,n,Bir değiş tokuşta üste verilen şey,,1,"Pazarlıkta anlaşmaya varmak için satıcı, müşteriye bir miktar abra olarak ekstra malzeme verdi",1
TUR10-0001460,n,Eski çağlarda bazı hastalıklara iyi geldiğine inanılan büyülü söz,,1,"Şifacılar, hastayı iyileştirmek için eski bir tılsım olarak 'abrakadabra' kelimesini fısıldarlardı",1
TUR10-0001470,n,Sihirbazların sıkça kullandığı büyü sözü,https://tr.wikipedia.org/wiki/Abrakadabra,1,"Sihirbaz şapkasına dokunup 'abrakadabra' dediğinde, seyirciler arasından bir anda alkışlar yükseldi",1
TUR10-0001490,v,Fırtınalı havalarda gemiyi ustalıkla yönetmek,,1,"Denizci, patlayan fırtınaya rağmen gemiyi ustalıkla abramayı başardı ve güvenli bir şekilde limana yanaştırdı|Farklı kıç tahrikler ve pod makineler teknenin abrama ve performansında, hem düşük hem de yüksek süratte son derece etkili olabilir",1
TUR10-0001500,a,Alaca benekli,,1,"Abraş at.|Dağ keçisinin abraş postu, yeşil ve kahverengi orman zemininde kolayca kamufle olmasını sağlıyordu",1
TUR10-0001510,a,Klorofil azlığından dolayı açık renkte lekeleri olan bitki yaprağı,,1,"Bahçedeki gül yaprakları abraş bir görünüme sahipti, bu yüzden normalden daha solgundu",1
TUR10-0001520,a,"Çarpık, eğri, düzgün olmayan",,1,"Ustalar, eski evin abraş duvarlarını düzeltmek için hayli uğraştılar",1
TUR10-0001530,a,"Ters, kaba, görgüsüz kimse",,1,"Mahalledeki abraş tavırlarıyla bilinen adam, herkesin sabrını zorluyordu",1
TUR10-0001540,a,"Çilli, çopur yüzlü, açık renk gözlü, çapar kimse",,1,"Genç kızın abraş yüzü, ona farklı bir güzellik katıyordu",1
TUR10-0001550,n,Deseni ve atkısı bozuk halı,,1,"Antikacının köşesinde duran abraş halı, zamanla desenlerinin bozulmasıyla farklı bir hava kazanmıştı",1
TUR10-0001560,n,"Yılın otuz gün süren, dördüncü ayı",https://tr.wikipedia.org/wiki/Nisan,0,,3
TUR10-0001570,n,Emerek içine çekme,,1,"Rüzgarın gücü, denizden gelen tuzlu havayı massetme işlemini hızlandırıyordu.",3
TUR10-0001590,a,Soyut,,0,,2
TUR10-0001630,i,Şaşma ve korku bildiren bir söz,,1,"Abu, neler oluyormuş!",1
TUR10-0001640,n,Yeryüzünün herhangi bir yerinde hava olaylarına bağlı olarak gerçekleşen etkilerin uzun yılların ortalamasına dayanan durumu,https://tr.wikipedia.org/wiki/%C4%B0klim,1,İklim ile toprağın bereketi ve insanın faaliyeti arasında yakın bir münasebet vardır.,2
TUR10-0001660,n,"Yeri ve değeri olmayan söz, davranış içinde olma",,1,"Abuk sabukluktan bir çizgi yaratan giysileri, ilginç takılarıyla çağdaş bir efsaneydi.|Onun söyledikleri tam bir saçmalık; bu kadar mantıksız bir şey nasıl söylenir?",3
TUR10-0001700,a,"Hantal, kaba ve anlayışsız kimse",,1,Öte yandan o abullabut adamın yaşamı kim bilir ne büyük sıkıntılar içindedir,1
TUR10-0001710,a,"Biçimsiz ve kötü giyinen, giyimine özen göstermeyen kimse",,1,"Abullabut görünüşlüdür ama ince, hassas bir ruhu olamaz mı o adamın",1
TUR10-0001720,n,"Abullabut gibi davranma, abullabut olma durumu",,0,,1
TUR10-0001730,n,"Sırası, tadı, yararı gözetilmeksizin rastgele yenilen şeyler",,1,Çocuklara abur cubur yedirmekten sakınmalı,1
TUR10-0001740,a,"İşe yaramayan, boş",,1,"Olumlu, verimli bir işe adayacağı zamanını, abur cubur işlere harcamak ağırlarına gider.",1
TUR10-0001760,a,"Hoşnutsuzluğunu, kızgınlığını yüzüne sert bir anlam vererek belirten, öfkeli görünüşlü yüzü olan",,1,"Bütün halk cenazelerdeki gibi suskun ve somurtkandı.|Bütün halk cenazelerdeki gibi suskun ve abustu.|İş arkadaşlarına karşı sürekli kavga çıkarması onun suratsız biri olarak tanınmasına neden oldu.|Patronun abus ifadesi, toplantıdaki herkesin daha temkinli olmasına neden oldu",12
TUR10-0001770,a,"Somurtkan, çatık, asık yüz",,1,"Abus çehreli bir adamın ne namazı, ne niyazı, ne zekâtı, ne orucu makbuldür.|Hiçbir müstebit efendi huysuz bir zevç kadar müşkülpesent ve zalim değildir. Daima abus durur",1
TUR10-0001780,a,"Niteliği bilinmeyen, garip, acayip",,1,"Eski dükkanın vitrininde sergilenen abus bir obje, meraklı bakışları üzerine çekiyordu",1
TUR10-0001820,a,"Güçlü ve becerikli, çevik, enerjik",,1,"Bunlar yarının kadın hakları savunucuları, acar avukatları olacak soydandırlar.",1
TUR10-0001830,a,Yeni,,1,"Eskisi olmıyanın acarı olmaz|Bu kitabı ilk okuduğumda, çiçeği burnunda bir fakülte mezunuydum.|Nizam-ı cedit",4
TUR10-0001850,n,Güneybatı Kafkasya'nın Türkiye sınırına yakın bölgesinde yaşayan bir halk,,0,,2
TUR10-0001870,v,Acar duruma gelmek,,0,,1
TUR10-0001970,b,Gittikçe hızlanarak çalınmak,,0,,1
TUR10-0001980,n,"Teniste rakibin karşılayamadığı, doğrudan doğruya sayı getiren servis",,0,,2
TUR10-0001990,a,Alışılandan veya gösterilenden daha kısa bir zamanda,,1,"Adam, acele adımlarla tekrar geri dönüyor, süratle merdivenlerden iniyor.",4
TUR10-0002000,b,"Vakit geçirmeden, tez olarak",,1,"Acele, bir karar vermek ihtiyacındayım.",1
TUR10-0002010,n,"Çabuk davranma, ivecenlik",,1,"Acelesi vardı, bekleyemedi.|Onun acelesine yetişmek kabil değil, arkadan yetişiriz biz.",1
TUR10-0002060,n,Özel ücreti olan ve hızlı bir biçimde gönderilen posta,,0,,1
TUR10-0002070,n,Klasik Türk müziğinde mi notasına yakın bir perde,https://tr.wikipedia.org/wiki/Acem_(m%C3%BCzik),0,,1
TUR10-0002090,n,İran ülkesi,https://tr.wikipedia.org/wiki/%C4%B0ran,0,,1
TUR10-0002100,a,İran'a özgü,,0,,1
TUR10-0002110,n,Klasik Türk müziğinde kullanılan şet makamlarından biri,https://tr.wikipedia.org/wiki/Acema%C5%9Firan,0,,1
TUR10-0002120,n,Canlı kırmızı çiçekler açan bir süs bitkisi,,0,,1
TUR10-0002130,n,Klasik Türk müziğinde kullanılan birleşik bir makam,https://tr.wikipedia.org/wiki/Acemb%C3%BBselik,0,,1
TUR10-0002150,a,Acem dilinde yazılmış olan,,0,,1
TUR10-0002160,n,Doğu ve Güneydoğu Anadolu yöresinde oynanan bir halk oyunu,,0,,1
TUR10-0002170,a,"Bir işin yabancısı olan, eli işe alışmamış, bir işi beceremeyen",,1,"Ben bu sanatın acemisiyim, anlamam|Hareketleri çolpa, dikkati dağınık, tepkileri geç ve kesikti.|Yeni başladığı işte hala dirayetsizdi.",10
TUR10-0002180,a,"Bir işe, bir duruma henüz alışmamış olan",,1,Acemi bir marangoz,6
TUR10-0002190,n,"Bir yerin, bir şeyin yabancısı",,0,,1
TUR10-0002200,n,Saraya yeni alınmış cariye,,0,,1
TUR10-0002210,n,Hareme yeni alınan cariyelerin ağası,,0,,1
TUR10-0002230,a,"Deneyimsiz, toy, beceriksiz",,0,,1
TUR10-0002240,n,Askere yeni alınan ve eğitim dönemini henüz tamamlamamış er,,0,,1
TUR10-0002260,v,"Beceriksizlik göstermek, bocalamak",,0,,1
