synset_id,literal,sense,origin,groups
TUR10-0001560,nisan,1,,
TUR10-0001560,april,1,,
TUR10-0001560,abrilFOREIGN,1,FOREIGN,
TUR10-0001570,absorbe,1,,
TUR10-0001570,imtisasFOREIGN,1,FOREIGN,
TUR10-0001570,massetmeFOREIGN,1,FOREIGN,
TUR10-0001590,abstre,1,,
TUR10-0001590,mücerretFOREIGN,3,FOREIGN,
TUR10-0001630,abu,1,,
TUR10-0001640,iklim,1,,
TUR10-0001640,abuhavaFOREIGN,1,FOREIGN,
TUR10-0001660,saçmalık,2,,
TUR10-0001660,abuk sabukluk,1,,
TUR10-0001660,abukluk,1,,
TUR10-0001700,abullabut,1,,
TUR10-0001710,abullabut,2,,
TUR10-0001720,abullabutluk,1,,
TUR10-0001730,abur cubur,1,,
TUR10-0001740,abur cubur,2,,
TUR10-0001760,asık suratlı,1,,
TUR10-0001760,abusFOREIGN,1,FOREIGN,
TUR10-0001760,asık,1,,
TUR10-0001760,suratsız,1,,
TUR10-0001760,sorutkan,1,,
TUR10-0001760,somurtkan,1,,
TUR10-0001760,eğri yüzlü,1,,
TUR10-0001760,eğri çehreli,1,,
TUR10-0001760,askın surat,1,,
TUR10-0001760,suratlı,1,,
TUR10-0001760,somurtuk,1,,
TUR10-0001760,yüzü asık,1,,
TUR10-0001770,abusFOREIGN,2,FOREIGN,
TUR10-0001780,abusFOREIGN,3,FOREIGN,
TUR10-0001820,acar,2,,
TUR10-0001830,çiçeği burnunda,1,,
TUR10-0001830,gıcır,2,,
TUR10-0001830,acar,3,,
TUR10-0001830,ceditFOREIGN,1,FOREIGN,
TUR10-0001850,acar,4,,
TUR10-0001850,Acara,1,,
TUR10-0001870,acarlaşmak,1,,
TUR10-0001970,accelerando,1,,
TUR10-0001980,servis sayısı,1,,
TUR10-0001980,ace,1,,
TUR10-0001990,çabuk,2,,
TUR10-0001990,acele,1,,
TUR10-0001990,tez,2,,
TUR10-0001990,ivedi,2,,
TUR10-0002000,acele,2,,
TUR10-0002010,acele,3,,
TUR10-0002060,acele posta,1,,
TUR10-0002070,acem,1,,
TUR10-0002090,acem,2,,
TUR10-0002100,acem,4,,
TUR10-0002110,acemaşiran,1,,
TUR10-0002120,acemborusu,1,,
TUR10-0002130,acembuselik,1,,
TUR10-0002150,Acemce,2,,
TUR10-0002160,Acem halayı,1,,
TUR10-0002170,acemi,1,,
TUR10-0002170,beceriksiz,1,,
TUR10-0002170,âciz,2,,
TUR10-0002170,argın,2,,
TUR10-0002170,çolpaFOREIGN,2,FOREIGN,
TUR10-0002170,değimsiz,1,,
TUR10-0002170,dirayetsiz,1,,
TUR10-0002170,gıygıycı,2,,
TUR10-0002170,liyakatsiz,1,,
TUR10-0002170,maharetsizFOREIGN,1,FOREIGN,
TUR10-0002180,acemi,2,,
TUR10-0002180,cikcik,2,,
TUR10-0002180,dünkü,3,,
TUR10-0002180,idmansız,2,,
TUR10-0002180,deneyimsiz,1,,
TUR10-0002180,tecrübesiz,1,,
TUR10-0002190,acemi,3,,
TUR10-0002200,acemi,4,,
TUR10-0002210,acemi ağası,1,,
TUR10-0002230,acemi çaylak,1,,
TUR10-0002240,acemi er,1,,
TUR10-0002260,acemileşmek,1,,
TUR10-0002280,acemi ocağı,1,,
TUR10-0002290,acemi oğlanı,1,,
TUR10-0002300,Acem işi,1,,
TUR10-0002310,Acem kılıcı,1,,
TUR10-0002320,acemkürdi,1,,
TUR10-0002330,Acem lalesi1,1,,1
TUR10-0002330,acemlalesi1,1,,1
TUR10-0002330,güneştopu,1,,
TUR10-0002350,Acemleşmek,1,,
TUR10-0002360,Acemleşmek,2,,
TUR10-0002390,Acem pilavı,1,,
TUR10-0002400,acente,1,,
TUR10-0002410,acente,2,,
TUR10-0002420,acente,3,,
TUR10-0002430,acente,4,,
TUR10-0002440,acente,5,,
TUR10-0002450,acentelik,1,,
TUR10-0002460,acentelik,2,,
TUR10-0002470,acaba,1,,
TUR10-0002470,acep,1,,
TUR10-0002480,aceze,1,,
TUR10-0002490,acı,1,,
TUR10-0002510,acı,3,,
TUR10-0002530,acı,7,,
TUR10-0002540,acı,5,,
TUR10-0002550,üzücü,1,,
TUR10-0002550,acı,6,,
TUR10-0002550,can sıkıcı,1,,
TUR10-0002550,fena,2,,
TUR10-0002550,belalı,1,,
TUR10-0002550,cehennemi1,2,,1
TUR10-0002550,cehennemî1,2,,1
TUR10-0002550,müessifFOREIGN,1,FOREIGN,
TUR10-0002560,acı acı,1,,
TUR10-0002570,acı acı,2,,
TUR10-0002580,acı acı,3,,
TUR10-0002600,acı badem,2,,
TUR10-0002610,acı badem1,1,,1
TUR10-0002610,acıbadem1,1,,1
TUR10-0002620,acı badem kurabiyesi,1,,
TUR10-0002640,deli bal,1,,
TUR10-0002640,acı bal,1,,
TUR10-0002650,acı balık1,1,,1
TUR10-0002650,acıbalık1,1,,1
TUR10-0002650,gördek,1,,
TUR10-0002660,acıca,1,,
TUR10-0002670,acı ceviz,1,,
TUR10-0002720,titrek kavak,1,,
TUR10-0002720,acı kavak,1,,
TUR10-0002720,dağ kavağı,1,,
TUR10-0002730,eşek hıyarı1,1,,1
TUR10-0002730,eşekhıyarı1,1,,1
TUR10-0002730,acı kavun,1,,
TUR10-0002770,acıklı,1,,
TUR10-0002780,acıklı,2,,
TUR10-0002790,acıklı komedi,1,,
TUR10-0002820,acıkmak,1,,
TUR10-0002830,acı kök,1,,
TUR10-0002860,aç bırakmak,1,,
TUR10-0002860,acıktırmak,1,,
TUR10-0002870,acı kuvvet,1,,
TUR10-0002890,acılaşmak,1,,
TUR10-0002890,acımak,1,,
TUR10-0002890,acılanmak,1,,
TUR10-0002930,acılaşmak,2,,
TUR10-0002940,acılaşmak,3,,
TUR10-0002950,acılaşmak,4,,
TUR10-0002980,acılı,1,,
TUR10-0002990,acılı,2,,
TUR10-0003060,acımak,2,,
TUR10-0003070,acımak,3,,
TUR10-0003090,acımak,4,,
TUR10-0003090,merhamet etmek,1,,
TUR10-0003100,acı marul1,1,,1
TUR10-0003100,acımarul1,1,,1
TUR10-0003110,acımasız,1,,
TUR10-0003110,allahsız,1,,
TUR10-0003110,gaddar,1,,
TUR10-0003110,amansız,1,,
TUR10-0003110,duygusuz,2,,
TUR10-0003110,biaman,1,,
TUR10-0003110,ceberutFOREIGN,4,FOREIGN,
TUR10-0003110,cani,2,,
TUR10-0003110,taş kalpli,1,,
TUR10-0003110,taş yürekli,1,,
TUR10-0003110,tiran,2,,
TUR10-0003110,zalim,1,,
TUR10-0003110,vicdansız,1,,
TUR10-0003110,gavur,3,,
TUR10-0003110,gâvur,3,,
TUR10-0003110,imanı yok,1,,
TUR10-0003110,imansız,2,,
TUR10-0003110,kalpsiz,1,,
TUR10-0003110,kaskatı,3,,
TUR10-0003110,katı,2,,
TUR10-0003110,katı yürekli,1,,
TUR10-0003110,kitapsız,3,,
TUR10-0003110,kıyak,4,,
TUR10-0003110,merhametsiz,1,,
TUR10-0003110,moskof,1,,
TUR10-0003110,insafsız,1,,
TUR10-0003120,merhametsizce,1,,
TUR10-0003120,acımasız,2,,
TUR10-0003120,merhametsizcesine,1,,
TUR10-0003170,dokunaklı,1,,
TUR10-0003170,acımsı,2,,
TUR10-0003170,yakıcı,3,,
TUR10-0003170,yanık,7,,
TUR10-0003170,müessirFOREIGN,1,FOREIGN,
TUR10-0003170,koygun,1,,
TUR10-0003170,patetik,1,,
TUR10-0003180,acımsı,1,,
TUR10-0003180,acımtırak,1,,
TUR10-0003180,acırak,1,,
TUR10-0003230,acınma,1,,
TUR10-0003230,hayıf,1,,
TUR10-0003230,esefFOREIGN,2,FOREIGN,
TUR10-0003250,acınmak,2,,
TUR10-0003260,acı ot,1,,
TUR10-0003290,yaban turpu1,1,,1
TUR10-0003290,yabanturpu1,1,,1
TUR10-0003290,yabani turp,1,,
TUR10-0003290,acırga,1,,
TUR10-0003300,çam sakızı1,1,,1
TUR10-0003300,çamsakızı1,1,,1
TUR10-0003300,reçine,1,,
TUR10-0003300,doğal reçine,1,,
TUR10-0003300,acı sakız,1,,
TUR10-0003300,akma,2,,
TUR10-0003300,akındırık,1,,
TUR10-0003300,bedükFOREIGN,1,FOREIGN,
TUR10-0003320,acısız,2,,
TUR10-0003350,ağır söz,1,,
TUR10-0003350,acı söz,1,,
TUR10-0003360,acı su,1,,
TUR10-0003370,acı tatlı,1,,
TUR10-0003380,acı tatlı,2,,
TUR10-0003430,tüylü dalak otu,1,,
TUR10-0003430,acı yavşan,1,,
TUR10-0003430,yayla yavşanı,1,,
TUR10-0003430,sancı otu,1,,
TUR10-0003440,acıyıcı,1,,
TUR10-0003470,acı yonca1,1,,1
TUR10-0003470,acıyonca1,1,,1
TUR10-0003480,acibe,1,,
TUR10-0003520,acil servis,1,,
TUR10-0003540,aciz,2,,
TUR10-0003540,acizlik1,1,,1
TUR10-0003540,âcizlik1,1,,1
TUR10-0003540,beceriksizlik,1,,
TUR10-0003550,aciz,3,,
TUR10-0003560,âciz,1,,
TUR10-0003560,beli bükük,2,,
TUR10-0003560,buncacık,1,,
TUR10-0003560,güçsüz,1,,
TUR10-0003560,kof,3,,
TUR10-0003560,miskin,4,,
TUR10-0003560,ruhsuz,1,,
TUR10-0003560,sökelFOREIGN,2,FOREIGN,
TUR10-0003560,zavallı,2,,
TUR10-0003560,zebunFOREIGN,1,FOREIGN,
TUR10-0003560,zayıf,1,,
TUR10-0003560,baygın,2,,
TUR10-0003560,süzgün,1,,
TUR10-0003560,süzük,1,,
TUR10-0003580,âciz,3,,
TUR10-0003590,acizane1,1,,1
TUR10-0003590,âcizane1,1,,1
TUR10-0003620,acube,1,,
TUR10-0003630,acube,2,,
TUR10-0003640,tez canlı,1,,
TUR10-0003640,aculFOREIGN,1,FOREIGN,
TUR10-0003640,iveğenFOREIGN,1,FOREIGN,
TUR10-0003640,içi tez,1,,
TUR10-0003640,farfara,3,,
TUR10-0003640,telaşlı,2,,
TUR10-0003640,ivecen,1,,
TUR10-0003640,sabırsız,2,,
TUR10-0003640,canı tez,1,,
TUR10-0003640,kıvrak,5,,
TUR10-0003640,aceleci,1,,
TUR10-0003650,aculFOREIGN,2,FOREIGN,
TUR10-0003670,acur,1,,
TUR10-0003680,acuze,1,,
TUR10-0003690,acyo,1,,
TUR10-0003700,acyo,2,,
TUR10-0003710,acyo,3,,
TUR10-0003720,acyocu,1,,
TUR10-0003730,aç,1,,
TUR10-0003740,aç,2,,
TUR10-0003750,açgözlü,1,,
TUR10-0003750,aç,3,,
TUR10-0003750,açgöz,1,,
TUR10-0003750,cam göz,2,,
TUR10-0003750,doymaz,1,,
TUR10-0003750,gözü aç,1,,
TUR10-0003750,gözü doymaz,1,,
TUR10-0003750,harisFOREIGN,1,FOREIGN,
TUR10-0003750,tamahkar1,1,,1
TUR10-0003750,tamahkâr1,1,,1
TUR10-0003750,uzun dişli,1,,
TUR10-0003760,hevesli,1,,
TUR10-0003760,istekli,1,,
TUR10-0003760,arzulu,1,,
TUR10-0003760,aç,4,,
TUR10-0003760,heveskar1FOREIGN,1,FOREIGN,1
TUR10-0003760,heveskâr1FOREIGN,1,FOREIGN,1
TUR10-0003760,iştahlı,2,,
TUR10-0003760,ayran delisi,2,,
TUR10-0003760,talip,1,,
TUR10-0003760,müştehiFOREIGN,1,FOREIGN,
TUR10-0003770,aç,5,,
TUR10-0003780,açacak,1,,
TUR10-0003790,açacak,3,,
TUR10-0003820,açan,1,,
TUR10-0003850,aç biilaç,1,,
TUR10-0003860,açelya,1,,
TUR10-0003910,açı,2,,
TUR10-0003930,açıcı,1,,
TUR10-0003950,açığa alınma,1,,
TUR10-0003960,açığa alma,1,,
TUR10-0003970,açık,1,,
TUR10-0003980,açık,2,,
TUR10-0003980,mâniasız1,1,,1
TUR10-0003980,maniasız1,1,,1
TUR10-0003980,engelsiz,1,,
TUR10-0003990,açık,6,,
TUR10-0004020,açık,7,,
TUR10-0004040,açık,3,,
TUR10-0004060,açık,10,,
TUR10-0004070,açık,5,,
TUR10-0004080,açık,12,,
TUR10-0004090,açık,13,,
TUR10-0004100,açık,14,,
TUR10-0004110,açık,15,,
TUR10-0004120,açık,16,,
TUR10-0004130,açık açık,1,,
TUR10-0004140,açık açık,3,,
TUR10-0004160,açık ağıl,1,,
TUR10-0004170,açıkağız,1,,
TUR10-0004190,açık alan,1,,
TUR10-0004200,açık artırma,1,,
TUR10-0004200,açık arttırma,1,,
TUR10-0004200,müzayede,1,,
TUR10-0004200,artırma,2,,
TUR10-0004200,mezatFOREIGN,1,FOREIGN,
TUR10-0004210,açık bilet,1,,
TUR10-0004220,açık senet,1,,
TUR10-0004220,açık bono,1,,
TUR10-0004240,açık büfe,1,,
TUR10-0004250,açık celse,1,,
TUR10-0004250,açık duruşma,1,,
TUR10-0004260,açık ciro,1,,
TUR10-0004270,açıkça,1,,
TUR10-0004270,açıktan açığa,1,,
TUR10-0004270,aşikar,2,,
TUR10-0004270,resmen,3,,
TUR10-0004270,sarahatenFOREIGN,1,FOREIGN,
TUR10-0004300,açık çek,1,,
TUR10-0004310,açık çek,2,,
TUR10-0004320,açıkçı,1,,
TUR10-0004340,açık deniz,2,,
TUR10-0004350,açık devre,1,,
TUR10-0004360,açık dolaşım sistemi,1,,
TUR10-0004370,açık durum,1,,
TUR10-0004390,açık düşme,1,,
TUR10-0004400,açık eksiltme,1,,
TUR10-0004430,açık fikirli,1,,
TUR10-0004450,açık görüş,1,,
TUR10-0004460,açıkgöz,1,,
TUR10-0004460,anaç,4,,
TUR10-0004460,aynagöz,1,,
TUR10-0004460,bitirmiş,2,,
TUR10-0004460,cingöz,1,,
TUR10-0004460,güllabiFOREIGN,2,FOREIGN,
TUR10-0004460,hinoğlu,1,,
TUR10-0004460,hinoğluhin,1,,
TUR10-0004460,kurnaz,1,,
TUR10-0004460,jandarma,3,,
TUR10-0004460,malın gözü,2,,
TUR10-0004460,uyanık,2,,
TUR10-0004490,açık gri,1,,
TUR10-0004500,açık gri,2,,
TUR10-0004510,açık hava,1,,
TUR10-0004520,açık hava,2,,
TUR10-0004530,açık hava müzesi,1,,
TUR10-0004540,açık hava sineması,1,,
TUR10-0004550,açık hava tiyatrosu,1,,
TUR10-0004560,açık hece,1,,
TUR10-0004570,açık hesap,1,,
TUR10-0004580,açık imza,1,,
TUR10-0004590,açık işletme,1,,
TUR10-0004610,açık kahverengi,2,,
TUR10-0004620,açık kalp ameliyatı,1,,
TUR10-0004630,açık yürekli,1,,
TUR10-0004630,açık kalpli,1,,
TUR10-0004640,açık yüreklilik1,1,,1
TUR10-0004640,açıkyüreklilik1,1,,1
TUR10-0004640,açık kalplilik,1,,
TUR10-0004650,açık kapı politikası,1,,
TUR10-0004650,açık kapı siyaseti,1,,
TUR10-0004670,açık kart,1,,
TUR10-0004680,açık kestane,1,,
TUR10-0004690,açık kestane,2,,
TUR10-0004700,açık kırmızı,1,,
TUR10-0004710,açık kırmızı,2,,
TUR10-0004720,açık kredi,1,,
TUR10-0004740,açıklama cümlesi,1,,
TUR10-0004750,açıklamak,1,,
TUR10-0004760,açıklamak,2,,
TUR10-0004760,tavzih etmekFOREIGN,1,FOREIGN,
TUR10-0004780,açıklamak,4,,
TUR10-0004840,açıklar livası,1,,
TUR10-0004850,açıklaşma,1,,
TUR10-0004860,açıklaşmak,1,,
TUR10-0004870,açıklaşmak,2,,
TUR10-0004930,açıklanan,1,,
TUR10-0004930,açıklayan,1,,
TUR10-0004940,açıklayıcı,1,,
TUR10-0004950,açıklayıcı,2,,
TUR10-0004990,açıklık,6,,
TUR10-0005000,açıklık,3,,
TUR10-0005010,açıklık,1,,
TUR10-0005030,açıklık,2,,
TUR10-0005040,açıklık,7,,
TUR10-0005060,açıklık,9,,
TUR10-0005070,açıklıkölçer,1,,
TUR10-0005080,açıklık politikası,1,,
TUR10-0005080,glasnost,1,,
TUR10-0005090,açık liman,1,,
TUR10-0005100,açık liman,2,,
TUR10-0005110,açık lise,1,,
TUR10-0005120,açık maaşı,1,,
TUR10-0005140,açık mavi,2,,
TUR10-0005150,açık mektup,2,,
TUR10-0005160,açık mektup,1,,
TUR10-0005170,açık ordugah1,1,,1
TUR10-0005170,açık ordugâh1,1,,1
TUR10-0005180,açık oturum1,1,,1
TUR10-0005180,açıkoturum1,1,,1
TUR10-0005180,panel,1,,
TUR10-0005190,açık oy,1,,
TUR10-0005200,açık öğretim1,1,,1
TUR10-0005200,açıköğretim1,1,,1
TUR10-0005210,açık önerme,1,,
TUR10-0005220,açık pazar,1,,
TUR10-0005230,açık pembe,1,,
TUR10-0005240,açık pembe,2,,
TUR10-0005250,açık piyasa,1,,
TUR10-0005260,açık poliçe,1,,
TUR10-0005270,açık raf,1,,
TUR10-0005280,açık rejim,1,,
TUR10-0005300,açık saçık,2,,
TUR10-0005330,açık sarı,2,,
TUR10-0005340,açık sayım,1,,
TUR10-0005340,aleni tadatFOREIGN,1,FOREIGN,
TUR10-0005350,açık seçik,1,,
TUR10-0005360,açık seçik,2,,
TUR10-0005390,açık sözlü,1,,
TUR10-0005410,açık şehir,1,,
TUR10-0005420,açıktan,1,,
TUR10-0005420,alargaFOREIGN,2,FOREIGN,
TUR10-0005430,açıktan,2,,
TUR10-0005440,açıktan,3,,
TUR10-0005460,açıktan atama,1,,
TUR10-0005460,açıktan tayin,1,,
TUR10-0005480,açık taşıt,1,,
TUR10-0005490,açık teşekkür,1,,
TUR10-0005510,açık tribün,1,,
TUR10-0005520,açık yara,1,,
TUR10-0005530,açık yeşil,1,,
TUR10-0005530,güvelaFOREIGN,1,FOREIGN,
TUR10-0005540,açık yeşil,2,,
TUR10-0005570,açık zaman,1,,
TUR10-0005580,açılama,1,,
TUR10-0005600,açılım,1,,
TUR10-0005630,açılış,1,,
TUR10-0005630,açım,1,,
TUR10-0005630,küşatFOREIGN,1,FOREIGN,
TUR10-0005640,açılış konuşması,1,,
TUR10-0005650,açılış töreni,1,,
TUR10-0005680,açılma,3,,
TUR10-0005690,açılma,1,,
TUR10-0005710,açılmak,2,,
TUR10-0005720,açılmak,3,,
TUR10-0005730,açılmak,4,,
TUR10-0005740,açılmak,5,,
TUR10-0005750,açılmak,6,,
TUR10-0005760,açılmak,14,,
TUR10-0005790,açılmak,7,,
TUR10-0005800,açılmak,13,,
TUR10-0005810,açılmak,8,,
TUR10-0005820,açılmak,9,,
TUR10-0005830,açılmak,10,,
TUR10-0005840,açılmak,11,,
TUR10-0005840,yayılmak,8,,
TUR10-0005860,açımlama,1,,
TUR10-0005860,teşrihFOREIGN,1,FOREIGN,
TUR10-0005860,şerhFOREIGN,4,FOREIGN,
TUR10-0005870,açımlamak,1,,
TUR10-0005870,teşrih etmekFOREIGN,1,FOREIGN,
